city,day_type,room_type,listing_count,avg_price,median_price,std_price,p10_price,p90_price,avg_satisfaction,avg_cleanliness,avg_dist,avg_metro_dist,avg_capacity,superhost_rate,log_demand
london,weekend,Entire home/apt,2418,539.134735289168,446.15348432465487,467.693711760429,264.1172181848115,875.8437404454479,89.70967741935483,9.141439205955335,4.793002823071217,0.7919572681098138,3.6137303556658393,0.12531017369727046,7.791109510610028
london,weekend,Private room,2934,222.08813083971503,181.09551024247983,353.92603711710524,117.35929819610057,322.20889484700956,91.93115201090662,9.238582140422631,5.761895515539561,1.1962425797668585,2.23653715064758,0.20040899795501022,7.984462732262196
london,weekend,Shared room,27,178.44745660545664,161.81001434652742,99.22628536161022,78.5531174298549,288.3416825419224,89.66666666666667,9.037037037037036,6.01430515987164,1.6002090987214674,2.7037037037037037,0.14814814814814814,3.332204510175204
london,weekday,Entire home/apt,1966,551.5401564119131,452.2683976575178,589.8288310431675,267.88024177426564,870.6695830099485,88.96337741607324,9.09969481180061,4.742836835249947,0.7655862149563126,3.6302136317395726,0.10223804679552391,7.584264818389059
london,weekday,Private room,2625,218.51501681601206,176.1565417813213,380.6459160448116,116.41854229873704,310.44944612996545,91.368,9.196190476190477,5.7477167835858864,1.1540726807658588,2.2365714285714287,0.18095238095238095,7.873217054862741
london,weekday,Shared room,23,181.43295529262113,154.0487781932783,97.5009958094811,120.18156588819116,294.6917848491263,87.56521739130434,8.782608695652174,6.847155687430855,1.99620537158215,2.652173913043478,0.08695652173913043,3.1780538303479458
rome,weekend,Entire home/apt,2807,244.0736284807745,214.85516564187688,122.91808352411164,149.860893554345,369.85949080027115,93.39080869255433,9.51193444959031,3.034860911355487,0.8554614280846781,3.9593872461702886,0.3423583897399359,7.940227765145702
rome,weekend,Shared room,5,106.23524185818155,104.03759380917867,5.045799975973241,103.80380146354008,115.25962639983166,87.2,9.2,3.373441928581438,0.8763585465430864,4.2,0.0,1.791759469228055
rome,weekend,Private room,1723,152.50086098135884,135.131975779113,87.55959053302249,92.34797652724849,228.8827063801931,92.49912942542078,9.516540917005223,2.966849906737975,0.7188683498920201,2.3900174114915846,0.2768427161926872,7.452402451223638
rome,weekday,Private room,1731,145.09104348006787,129.0533747925093,81.49802436813496,90.01005307086245,207.60760292708017,92.52859618717504,9.49740034662045,2.9810802400798533,0.738084404481314,2.3766608896591563,0.29809358752166376,7.4570320891223805
